"dataset","n_rows","original","tidyverse_only","datatable","tidyverse_speedup","datatable_speedup","tidyverse_improvement","datatable_improvement","tidyverse_vs_datatable"
"small",25,0.0133333333333333,0.00833333333333334,0.00966666666666668,1.6,1.37931034482759,37.5,27.5,0.862068965517241
"medium",500,0.284333333333333,0.0806666666666667,0.057,3.52479338842975,4.98830409356725,71.6295427901524,79.9531066822978,1.41520467836257
"large",2500,7.55066666666667,2.309,1.578,3.27010249747365,4.78495986480778,69.4199187709694,79.1011831184884,1.46324461343473
